,Event name,Event date,Country,City,Address,Website,IATA,distances
0,DAY OFF,2024-09-27, US, Long Island,New York (NYC),https://www.songkick.com/concerts/42098535-nanowar-of-steel-at-brooklyn-bowl?utm_source=60345&utm_medium=partner,"['JFK', 'EWR', 'PHL']","[16, 18, 144]"
0,Tragedy and Nanowar Of Steel at Baltimore Soundstage ,2024-09-28, US,Baltimore,Baltimore,https://www.songkick.com/concerts/42098522-tragedy-at-baltimore-soundstage?utm_source=60345&utm_medium=partner,"['PHL', 'PHF', 'EWR']","[133, 239, 259]"
1,Tragedy and Nanowar Of Steel at Hangar 1819 ,2024-09-29, US,Greensboro,Greensboro,https://www.songkick.com/concerts/42098523-tragedy-at-hangar-1819?utm_source=60345&utm_medium=partner,"['RDU', 'CLT', 'ILM']","[95, 138, 264]"
2,Nanowar Of Steel and Tragedy at The Masquerade - Altar ,2024-09-30, US,Atlanta,Atlanta,https://www.songkick.com/concerts/42098524-nanowar-of-steel-at-masquerade-altar?utm_source=60345&utm_medium=partner,"['ATL', 'CLT', 'CHS']","[13, 354, 414]"
3,Nanowar Of Steel and Tragedy at The Conduit ,2024-10-01, US,Orlando,Orlando,https://www.songkick.com/concerts/42098526-nanowar-of-steel-at-conduit?utm_source=60345&utm_medium=partner,"['MCO', 'OCF', 'FLL']","[21, 110, 303]"
3,DAY OFF,2024-10-02, US,Fayetteville NC,Orlando,https://www.songkick.com/concerts/42098526-nanowar-of-steel-at-conduit?utm_source=60345&utm_medium=partner,"['MCO', 'OCF', 'FLL']","[21, 110, 303]"
4,Nanowar Of Steel and Tragedy at The Canal Club ,2024-10-03, US,Richmond,Richmond,https://www.songkick.com/concerts/42098527-nanowar-of-steel-at-canal-club?utm_source=60345&utm_medium=partner,"['PHF', 'ORF', 'RDU']","[94, 129, 220]"
5,Nanowar Of Steel and Tragedy at Warehouse on Watts ,2024-10-04, US,Philadelphia,Philadelphia,https://www.songkick.com/concerts/42119713-nanowar-of-steel-at-warehouse-on-watts?utm_source=60345&utm_medium=partner,"['PHL', 'EWR', 'JFK']","[12, 115, 138]"
5,DAY OFF,2024-10-05, US,Maumee OH, Maumee Ohio,https://www.songkick.com/concerts/42119713-nanowar-of-steel-at-warehouse-on-watts?utm_source=60345&utm_medium=partner,"['PHL', 'EWR', 'JFK']","[12, 115, 138]"
6,Nanowar Of Steel and Tragedy at The WC Social Club ,2024-10-06, US,Chicago,Chicago,https://www.songkick.com/concerts/42098528-nanowar-of-steel-at-wc-social-club?utm_source=60345&utm_medium=partner,"['MDW', 'IND', 'STL']","[8, 263, 412]"
7,Nanowar Of Steel and Tragedy at Black Circle Brewing ,2024-10-07, US,Indianapolis,Indianapolis,https://www.songkick.com/concerts/42098529-nanowar-of-steel-at-black-circle-brewing?utm_source=60345&utm_medium=partner,"['IND', 'MDW', 'LCK']","[20, 256, 272]"
8,Tragedy and Nanowar Of Steel at The Foundry Concert Club ,2024-10-08, US,Lakewood,Cleveland,https://www.songkick.com/concerts/42098531-tragedy-at-foundry-concert-club?utm_source=60345&utm_medium=partner,"['LCK', 'BUF', 'YYZ']","[210, 298, 300]"
9,Nanowar Of Steel and Tragedy at Crafthouse Stage & Grill ,2024-10-09, US,Pittsburgh,Pittsburgh,https://www.songkick.com/concerts/42098532-nanowar-of-steel-at-crafthouse-stage-and-grill?utm_source=60345&utm_medium=partner,"['LCK', 'BUF', 'YYZ']","[256, 306, 371]"
10,Tragedy and Nanowar Of Steel at Lee's Palace ,2024-10-10, Canada,Toronto,Toronto,https://www.songkick.com/concerts/42098533-tragedy-at-lees-palace?utm_source=60345&utm_medium=partner,"['YYZ', 'BUF', nan]","[17, 97, 403]"
11,Tragedy and Nanowar Of Steel at Piranha Bar ,2024-10-11, Canada,Montreal,Montreal,https://www.songkick.com/concerts/42098534-tragedy-at-piranha-bar?utm_source=60345&utm_medium=partner,"['YUL', 'YQB', 'BDL']","[14, 220, 402]"
12,Nanowar Of Steel and Tragedy at Brooklyn Bowl ,2024-10-12, US,Brooklyn,New York (NYC),https://www.songkick.com/concerts/42098535-nanowar-of-steel-at-brooklyn-bowl?utm_source=60345&utm_medium=partner,"['JFK', 'EWR', 'PHL']","[16, 18, 144]"
